query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Obex,obex,HOMBA:12812,1.0,bm25+exact+fuzzy,Obex,Obex,,1.0,high_confidence,,
Oculomotor nucleus,oculomotor nucleus,HOMBA:12198,1.0,bm25+exact+fuzzy+hierarchy_parent,Oculomotor nucleus,Oculomotor nucleus,,1.0,high_confidence,efferent nuclei of the cranial nerves in midbrain,0.97
Edinger-Westphal nucleus (preganglionic),Edinger-Westphal nucleus (accessory oculomotor nucleus),HOMBA:12197,0.88,bm25+exact+fuzzy,Edinger-Westphal nucleus,Edinger-Westphal nucleus,preganglionic,0.0,needs_review,pre-Edinger-Westphal nucleus,0.7392
Trochlear nucleus,trochlear nucleus,HOMBA:12206,1.0,bm25+exact+fuzzy,Trochlear nucleus,Trochlear nucleus,,1.0,high_confidence,efferent nuclei of the cranial nerves in midbrain,0.97
Motor trigeminal nucleus,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",HOMBA:12429,1.0,bm25+exact+fuzzy+hierarchy_parent,Motor trigeminal nucleus,Motor trigeminal nucleus,,1.0,high_confidence,afferent nuclei of cranial nerves in pons,0.816733
Principal sensory trigeminal nucleus,principal sensory nucleus of trigeminal nerve,HOMBA:12444,1.0,bm25+fuzzy,principal sensory nucleus of trigeminal nerve,principal sensory principal sensory nucleus of trigeminal nerve,principal,1.0,high_confidence,spinal trigeminal nucleus,0.960882
Spinal trigeminal nucleus,spinal trigeminal nucleus,HOMBA:12572,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal trigeminal nucleus,Spinal trigeminal nucleus,,1.0,high_confidence,afferent nuclei of cranial nerves in pons,0.817465
Accessory trigeminal nucleus,accessory facial nucleus,HOMBA:12419,0.760807,bm25+fuzzy,accessory facial nucleus,Accessory trigeminal nucleus,accessory,1.0,needs_review,accessory nerve nucleus (supraspinal nucleus),0.75845
Accessory facial nucleus,accessory facial nucleus,HOMBA:12419,1.0,bm25+exact+fuzzy,Accessory facial nucleus,Accessory facial nucleus,accessory,1.0,high_confidence,accessory nerve nucleus (supraspinal nucleus),0.408292
Superior salivatory nucleus,superior salivatory nucleus,HOMBA:12435,1.0,bm25+exact+fuzzy,Superior salivatory nucleus,Superior salivatory nucleus,,1.0,high_confidence,superior olivary complex,0.363773
Inferior salivatory nucleus,inferior salivatory nucleus,HOMBA:12544,1.0,bm25+exact+fuzzy,Inferior salivatory nucleus,Inferior salivatory nucleus,,1.0,high_confidence,inferior colliculus,0.327681
Ventral cochlear nucleus,ventral cochlear nucleus,HOMBA:12439,1.0,bm25+exact+fuzzy,Ventral cochlear nucleus,Ventral cochlear nucleus,ventral,1.0,high_confidence,"ventral cochlear nucleus, caudal division",0.995
Dorsal cochlear nucleus,dorsal cochlear nucleus,HOMBA:12438,1.0,bm25+exact+fuzzy,Dorsal cochlear nucleus,Dorsal cochlear nucleus,dorsal,1.0,high_confidence,dorsal part of pontine nucleus,0.429745
