dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
species,Cingulate area 1,low_confidence,0.504041,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 1,cingulate subdivision of area 5,,1.0,cingulate cortex,0.463172,D_homba_gap,HOMBA lacks this granularity
species,Cingulate area 2,low_confidence,0.504041,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 2,cingulate subdivision of area 5,,1.0,cingulate cortex,0.463172,D_homba_gap,HOMBA lacks this granularity
species,"Brainstem, unspecified",low_confidence,0.530552,HOMBA:10648,"gray matter of midbrain (mesencephalon, upper brainstem)",bm25+fuzzy,"Brainstem, unspecified",upper brainstem,,1.0,developing transient structures of lower brainstem (pons and medulla),0.298065,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 3 Intermediate,low_confidence,0.547161,HOMBA:AA30563,cerebellar morphology,bm25+hierarchy_parent,Cerebellar Lobule 3 Intermediate,cerebellar morphology,,1.0,cerebellar lobules,0.514773,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 4 Intermediate,low_confidence,0.547161,HOMBA:AA30563,cerebellar morphology,bm25+hierarchy_parent,Cerebellar Lobule 4 Intermediate,cerebellar morphology,,1.0,cerebellar lobules,0.514773,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 5 Intermediate,low_confidence,0.547161,HOMBA:AA30563,cerebellar morphology,bm25+hierarchy_parent,Cerebellar Lobule 5 Intermediate,cerebellar morphology,,1.0,cerebellar lobules,0.514773,D_homba_gap,HOMBA lacks this granularity
species,Cerebellar Lobule 6 Intermediate,low_confidence,0.547161,HOMBA:AA30563,cerebellar morphology,bm25+hierarchy_parent,Cerebellar Lobule 6 Intermediate,cerebellar morphology,,1.0,cerebellar lobules,0.514773,D_homba_gap,HOMBA lacks this granularity
species,"Primary somatosensory area, forelimb representation",needs_review,0.616768,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,primary somatosensory cortex forelimb representation,primary somatosensory cortex,,1.0,area 1 of primary somatosensory cortex,0.522104,D_homba_gap,HOMBA lacks this granularity
species,"Primary somatosensory area, hindlimb representation",needs_review,0.616768,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,primary somatosensory cortex hindlimb representation,primary somatosensory cortex,,1.0,area 1 of primary somatosensory cortex,0.51972,D_homba_gap,HOMBA lacks this granularity
species,Perirhinal area 36,needs_review,0.623878,HOMBA:AA30025,perirhinal cortical region,bm25+fuzzy+hierarchy_parent,Perirhinal area 36,perirhinal cortical region,,1.0,ectorhinal cortex (area 36),0.543878,D_homba_gap,HOMBA lacks this granularity
species,"Primary somatosensory area, trunk representation",needs_review,0.637321,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,primary somatosensory cortex trunk representation,primary somatosensory cortex,,1.0,area 1 of primary somatosensory cortex,0.527565,D_homba_gap,HOMBA lacks this granularity
species,Perirhinal area 35,needs_review,0.643533,HOMBA:10320,perirhinal cortex (area 35),bm25+fuzzy+hierarchy_parent,Perirhinal area 35,perirhinal cortex (area 35),,1.0,perirhinal cortical region,0.271672,D_homba_gap,HOMBA lacks this granularity
species,"Primary somatosensory area, face representation",needs_review,0.645,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,primary somatosensory cortex face representation,primary somatosensory cortex,,1.0,area 1 of primary somatosensory cortex,0.530727,D_homba_gap,HOMBA lacks this granularity
species,Frontal association cortex,needs_review,0.663516,HOMBA:10161,frontal cortex,bm25+fuzzy+hierarchy_parent,Frontal association cortex,frontal cortex,,1.0,"frontal polar cortex (FP, area 10)",0.590448,D_homba_gap,HOMBA lacks this granularity
species,"Primary somatosensory area, dysgranular zone",needs_review,0.670083,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,primary somatosensory cortex dysgranular zone,primary somatosensory cortex,,1.0,area 1 of primary somatosensory cortex,0.532383,D_homba_gap,HOMBA lacks this granularity
species,"Piriform cortex, layer 1",needs_review,0.705435,HOMBA:10311,piriform cortex,bm25+fuzzy,"Piriform cortex, layer 1",piriform cortex,layer,0.0,layer 1 (molecular layer) of ERC,0.408128,D_homba_gap,HOMBA lacks this granularity
species,"Piriform cortex, layer 2",needs_review,0.705435,HOMBA:10311,piriform cortex,bm25+fuzzy,"Piriform cortex, layer 2",piriform cortex,layer,0.0,layer 2 (outer granular cell layer) of NCx,0.408128,D_homba_gap,HOMBA lacks this granularity
species,"Piriform cortex, layer 3",needs_review,0.705435,HOMBA:10311,piriform cortex,bm25+fuzzy,"Piriform cortex, layer 3",piriform cortex,layer,0.0,unique layer 3 of primary visual cortex (primates),0.426757,D_homba_gap,HOMBA lacks this granularity
species,A11 dopamine cell group,needs_review,0.776304,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A11 dopamine cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.543902,D_homba_gap,HOMBA lacks this granularity
species,A13 dopamine cell group,needs_review,0.776304,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A13 dopamine cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.543902,D_homba_gap,HOMBA lacks this granularity
