structure_name,dataset,rcs_score,rcs_review_flag,rcs_candidate_homba_id,rcs_candidate_name,rcs_methods
Ventral posterior internal thalamic nucleus,corpus,0.7798,needs_review,HOMBA:10426,ventral posterior inferior nucleus,bm25+fuzzy
Ventral posterior external thalamic nucleus,corpus,0.7380,modifier_conflict,HOMBA:10503,posterior hypothalamic nucleus,bm25+fuzzy
Mediodorsal thalamic nucleus,corpus,1.0000,high_confidence,HOMBA:AA30278,submedius thalamic nucleus,bm25+exact+fuzzy
Pulvinar,corpus,1.0000,high_confidence,HOMBA:10409,pulvinar of thalamus,bm25+exact+fuzzy+hierarchy_parent
Centre median parafascicular complex,corpus,1.0000,high_confidence,HOMBA:10449,centromedian nucleus of thalamus,bm25+exact+fuzzy+hierarchy_parent
Reticular perithalamic nucleus,corpus,1.0000,high_confidence,HOMBA:AA30314,ethmoid thalamic nucleus,bm25+exact+fuzzy
Internal capsule,corpus,1.0000,high_confidence,HOMBA:10581,internal capsule,bm25+exact+fuzzy+hierarchy_parent
Forel's field H,corpus,1.0000,high_confidence,HOMBA:AA30325,prerubral field (field H3),bm25+exact+fuzzy
Forel's field H1,corpus,0.8150,needs_review,HOMBA:AA30325,prerubral field (field H3),bm25+fuzzy
Forel's field H2,corpus,0.8150,needs_review,HOMBA:AA30325,prerubral field (field H3),bm25+fuzzy
Ansa lenticularis,corpus,1.0000,high_confidence,HOMBA:10571,ansa lenticularis,bm25+exact+fuzzy
Brachium conjunctivum,corpus,1.0000,high_confidence,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),bm25+exact+fuzzy
Fornix,corpus,1.0000,high_confidence,HOMBA:10576,fornix,bm25+exact+fuzzy+hierarchy_parent
Lateral ventricle,corpus,0.9767,high_confidence,HOMBA:10598,body of lateral ventricles,bm25+fuzzy
CA1,corpus,1.0000,high_confidence,HOMBA:10297,CA1 region of hippocampus,bm25+exact+fuzzy+hierarchy_parent
CA2,corpus,1.0000,high_confidence,HOMBA:10298,CA2 region of hippocampus,bm25+exact+fuzzy+hierarchy_parent
CA3,corpus,1.0000,high_confidence,HOMBA:10299,CA3 region of hippocampus,bm25+exact+fuzzy+hierarchy_parent
CA4 (dentate hilus),corpus,1.0000,high_confidence,HOMBA:10295,dentate gyrus,bm25+exact+fuzzy
Dentate gyrus,corpus,1.0000,high_confidence,HOMBA:10295,dentate gyrus,bm25+exact+fuzzy+hierarchy_parent
Subiculum,corpus,1.0000,high_confidence,HOMBA:10302,subiculum proper (strictly defined subiculum),bm25+exact+fuzzy+hierarchy_parent
Vestigial hippocampal sulcus,corpus,1.0000,high_confidence,HOMBA:13029,septohippocampal nucleus,bm25+exact+fuzzy
Anterior nucleus (thalamus),corpus,0.9843,high_confidence,HOMBA:10417,ventral anterior nucleus of thalamus,bm25+fuzzy
Lateral geniculate nucleus,corpus,1.0000,high_confidence,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+exact+fuzzy
Medial geniculate nucleus,corpus,1.0000,high_confidence,HOMBA:10434,medial geniculate nucleus,bm25+exact+fuzzy
Ventral posterior thalamic nucleus,corpus,0.9375,modifier_conflict,HOMBA:10503,posterior hypothalamic nucleus,bm25+fuzzy
Intralaminar thalamic nuclei,corpus,1.0000,high_confidence,HOMBA:AA30339,ventral anterior hypothalamic nucleus,bm25+exact+fuzzy
Medial dorsal thalamic nucleus,corpus,1.0000,high_confidence,HOMBA:AA30278,submedius thalamic nucleus,bm25+exact+fuzzy
Lateral posterior thalamic nucleus,corpus,1.0000,high_confidence,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy
Posterior thalamic nucleus,corpus,1.0000,high_confidence,HOMBA:10503,posterior hypothalamic nucleus,bm25+exact+fuzzy
Medial pulvinar,corpus,1.0000,high_confidence,HOMBA:10411,medial division of pulvinar,bm25+fuzzy
Inferior pulvinar,corpus,1.0000,high_confidence,HOMBA:10413,inferior division of pulvinar,bm25+exact+fuzzy
Lateral pulvinar,corpus,1.0000,high_confidence,HOMBA:10412,lateral division of pulvinar,bm25+fuzzy
Anterior pulvinar,corpus,0.7367,needs_review,HOMBA:10409,pulvinar of thalamus,bm25+fuzzy+hierarchy_parent
Ventral medial thalamic nucleus,corpus,0.8342,needs_review,HOMBA:10490,ventral division of VMHco,bm25+fuzzy
Transverse temporal gyri (Heschl's gyri),corpus,0.8250,modifier_conflict,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),bm25+fuzzy
Planum temporale,corpus,1.0000,high_confidence,HOMBA:12145,planum temporale,bm25+exact+fuzzy
Temporal pole,corpus,1.0000,high_confidence,HOMBA:12146,temporal pole (temporopolar cortex),bm25+exact+fuzzy
Limen insulae,corpus,0.7733,needs_review,HOMBA:12179,limen insula,bm25+fuzzy
Uncus,corpus,1.0000,high_confidence,HOMBA:12165,uncus of (para)hippocampal gyrus,bm25+exact+fuzzy
Entorhinal area,corpus,1.0000,high_confidence,HOMBA:10317,entorhinal cortex,bm25+exact+fuzzy+hierarchy_parent
Periamygdaloid cortex,corpus,1.0000,high_confidence,HOMBA:AA30225,periamygdaloid cortex,bm25+exact+fuzzy+hierarchy_parent
Septal area,corpus,1.0000,high_confidence,HOMBA:10350,septal region (septal nuclear complex),bm25+exact+fuzzy+hierarchy_parent
Arcuate fasciculus,corpus,1.0000,high_confidence,HOMBA:10569,arcuate fasciculus,bm25+exact+fuzzy
Inferior longitudinal fasciculus,corpus,1.0000,high_confidence,HOMBA:10580,inferior longitudinal fasciculus,bm25+exact+fuzzy
Uncinate fasciculus,corpus,1.0000,high_confidence,HOMBA:10594,uncinate fasciculus,bm25+exact+fuzzy
Meyer's loop (geniculocalcarine tract),corpus,1.0000,high_confidence,HOMBA:12054,capsular part of optic radiation (geniculocalcarine tract),bm25+exact+fuzzy
Fimbria,corpus,1.0000,high_confidence,HOMBA:10575,fimbria,bm25+exact+fuzzy
Alveus,corpus,1.0000,high_confidence,HOMBA:10570,alveus,bm25+exact+fuzzy
Temporal horn of the lateral ventricle,corpus,0.8347,needs_review,HOMBA:10597,rostral horn of lateral ventricles,bm25+fuzzy
Angular gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12136,angular gyrus,bm25+exact+fuzzy
Angular gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12136,angular gyrus,bm25+exact+fuzzy
Intracalcarine cortex (inferior),corpus,1.0000,high_confidence,HOMBA:10426,ventral posterior inferior nucleus,bm25+exact+fuzzy
Intracalcarine cortex (superior),corpus,1.0000,high_confidence,HOMBA:10306,paleocortex (semicortex),bm25+exact+fuzzy
Cingulate gyrus (anterior anterior part),corpus,1.0000,high_confidence,HOMBA:12157,"cingulate gyrus, rostral (anterior) part",bm25+exact+fuzzy
Cingulate gyrus (anterior posterior part),corpus,1.0000,high_confidence,HOMBA:12158,"cingulate gyrus, caudal (posterior) part",bm25+exact+fuzzy
Cingulate gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:10285,posterior cingulate cortex (PCC),bm25+fuzzy
Cuneal cortex,corpus,1.0000,high_confidence,HOMBA:10159,cerebral cortex,bm25+exact+fuzzy
Central opercular cortex (anterior),corpus,0.9600,high_confidence,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),bm25+fuzzy
Central opercular cortex (posterior),corpus,1.0000,high_confidence,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),bm25+exact+fuzzy
Superior frontal gyrus (lateral anterior),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Superior frontal gyrus (lateral middle),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Superior frontal gyrus (lateral posterior),corpus,1.0000,high_confidence,HOMBA:12115,superior frontal gyrus,bm25+exact+fuzzy
Middle frontal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy
Middle frontal gyrus (middle),corpus,1.0000,high_confidence,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy
Middle frontal gyrus (posterior),corpus,1.0000,high_confidence,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy
Inferior frontal gyrus (anterior),corpus,1.0000,high_confidence,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy
