lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
occipital inf,4,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,1,1,0.0769,0.1429,0.02564,7,25
occipital inf,5,MFG_L(R)_7_1,A9/46d,dorsal area 9/46,MFG,15,16,1,1,0.0769,0.1429,0.02564,7,25
occipital inf,6,MVOcC_L(R)_5_3,cCunG,caudal cuneus gyrus,MVOcC,193,194,1,1,0.0769,0.1429,0.02564,7,25
occipital inferior,1,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,1,1,0.375,1.0,0.125,1,6
occipital lingual gyrus,1,MVOcC_L(R)_5_1,cLinG,caudal lingual gyrus,MVOcC,189,190,1,1,0.2727,0.3333,0.09091,3,5
occipital lingual gyrus,2,MVOcC_L(R)_5_3,cCunG,caudal cuneus gyrus,MVOcC,193,194,1,1,0.2727,0.3333,0.09091,3,5
occipital lingual gyrus,3,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,1,1,0.2727,0.3333,0.09091,3,5
occipital lobe,1,MVOcC_L(R)_5_2,rCunG,rostral cuneus gyrus,MVOcC,191,192,8,10,0.1339,0.1667,0.00787,48,31
occipital lobe,2,LOcC_L(R)_4_3,OPC,occipital polar cortex,LOcC,203,204,6,7,0.1024,0.125,0.00787,48,31
occipital lobe,3,LOcC_L(R)_4_2,V5/MT+,area V5/MT+,LOcC,201,202,5,7,0.0866,0.1042,0.00787,48,31
occipital lobe,4,LOcC_L(R)_4_4,iOccG,inferior occipital gyrus,LOcC,205,206,5,5,0.0866,0.1042,0.00787,48,31
occipital lobe,5,MVOcC_L(R)_5_3,cCunG,caudal cuneus gyrus,MVOcC,193,194,5,5,0.0866,0.1042,0.00787,48,31
occipital lobe,6,LOcC_L(R)_4_1,mOccG,middle occipital gyrus,LOcC,199,200,4,4,0.0709,0.0833,0.00787,48,31
occipital lobe,7,IPL_L(R)_6_1,A39c,caudal area 39(PGp),IPL,135,136,3,4,0.0551,0.0625,0.00787,48,31
occipital lobe,8,MVOcC_L(R)_5_1,cLinG,caudal lingual gyrus,MVOcC,189,190,3,3,0.0551,0.0625,0.00787,48,31
occipital lobe,9,LOcC_L(R)_2_1,msOccG,medial superior occipital gyrus,LOcC,207,208,2,3,0.0394,0.0417,0.00787,48,31
occipital lobe,10,MVOcC_L(R)_5_5,vmPOS,ventromedial parietooccipital sulcus,MVOcC,197,198,2,3,0.0394,0.0417,0.00787,48,31
occipital lobe,11,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.0236,0.0208,0.00787,48,31
occipital lobe,12,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.0236,0.0208,0.00787,48,31
occipital lobe,13,ITG_L(R)_7_2,A37elv,extreme lateroventral area 37,ITG,91,92,1,1,0.0236,0.0208,0.00787,48,31
occipital lobe,14,LOcC_L(R)_2_2,lsOccG,lateral superior occipital gyrus,LOcC,209,210,1,1,0.0236,0.0208,0.00787,48,31
