lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
fusiform area,L,1,1,1.0,1.0
fusiform area,R,1,1,0.0,1.0
fusiform area,U,1,6,0.5,
fusiform ba 19 20 20,L,1,1,1.0,1.0
fusiform ba 19 20 37,R,1,1,0.0,1.0
fusiform ba 19 37,L,1,2,1.0,1.0
mfg 6,U,1,2,0.5,
mfg ba 6,U,1,2,0.0,
mfg ba 8,L,1,1,1.0,1.0
mfg ba 9,R,1,1,0.0,1.0
mfg1,U,1,1,0.0,
mfg2,U,1,1,0.0,
mfga,U,1,2,0.0,
mid acc,U,1,1,0.0,
mediodorsal thalamic nucleus,U,1,1,0.0,
mediodorsal thalamus,L,1,1,1.0,1.0
medulla,U,1,1,0.0,
mefg,B,1,1,1.0,
mefg,U,1,2,0.5,
men versus women,U,1,3,0.6667,
mesial cingulate cortex,U,1,4,0.5,
mesial prefrontal cortex,U,1,2,0.5,
gfd ba 6,U,1,2,0.5,
medial ventral frontopolar cortex,U,1,1,0.0,
medial wall and precuneus,U,1,1,1.0,
median cingulate and paracingulate gyrus,L,1,2,1.0,1.0
median cingulate and paracingulate gyrus,R,1,1,1.0,0.0
median cingulate and paracingulate gyrus,U,1,1,1.0,
median cingulate gyrus,R,1,1,0.0,1.0
mediodorsal nc,U,1,2,0.0,
mid fr gyk,U,1,1,0.0,
mid fr gyl,U,1,2,0.0,
mid front,L,1,1,1.0,1.0
mid frontal,U,1,1,1.0,
mid frontal g,U,1,1,1.0,
mid frontal gyrusb,U,1,1,0.0,
mid frontal gyurs,U,1,1,0.0,
mid frontal lobe,R,1,1,0.0,1.0
mid cc ba 24,R,1,1,0.0,1.0
mid cing,U,1,1,1.0,
mid cingulate cortx,U,1,1,0.0,
mid cingulum,L,1,1,1.0,1.0
mid cingulum gyrus,U,1,1,0.0,
mid fg,U,1,1,1.0,
mid fr gy,U,1,13,0.2308,
mid fr gyh,U,1,4,0.0,
fusiform g,L,1,3,1.0,1.0
fusiform g,R,1,1,0.0,1.0
fusiform g ba 19,U,1,1,1.0,
fusiform gyq,U,1,1,0.0,
fusiform gyrsu,R,1,1,0.0,1.0
mid anterior stg,L,1,1,1.0,1.0
mid anterior superior temporal gyrus,R,1,2,0.0,1.0
mid cc,U,1,1,1.0,
fusiform ba 19 37,R,1,2,0.0,1.0
fusiform ba 37,L,1,1,1.0,1.0
fusiform ba 37,R,1,1,0.0,1.0
fusiform cortex,R,1,1,0.0,1.0
fusiform cortex ba 37,L,1,1,1.0,1.0
fusiform cortex ba 37,R,1,2,0.0,1.0
fusiform face area,R,1,1,0.0,1.0
fusiform face area ba 19,L,1,1,1.0,1.0
mid orbital gyrus,R,1,1,0.0,1.0
mid posterior insula,U,1,2,0.5,
mid posterior stg,L,1,1,1.0,1.0
mid psts,U,1,2,0.0,
mid stg,L,1,2,1.0,1.0
mid stg,R,1,1,0.0,1.0
mid sts,R,1,1,0.0,1.0
mid temp,U,1,6,0.8333,
mid occipital g,R,1,1,0.0,1.0
mid occipital gyrus ba 18,U,1,1,0.0,
mid occipital lobe,L,1,1,1.0,1.0
mid ofc,U,1,1,0.0,
mid og,U,1,1,1.0,
mid orbital frontal,U,1,1,1.0,
mid orbital gyr,U,1,1,1.0,
mid orbital gyrus,L,1,1,1.0,1.0
mid insular cortex,U,1,1,1.0,
mid lofc,U,1,1,1.0,
mid occ,U,1,1,1.0,
mid occ gyr,L,1,1,1.0,1.0
mid occ gyr,R,1,1,0.0,1.0
mid occip gyrus,U,1,2,0.5,
mid occipital and calcarine,L,1,1,1.0,1.0
mid occipital cortex,U,1,1,0.0,
mid frontal orb,L,1,1,1.0,1.0
mid frontal orb,R,1,1,0.0,1.0
mid fusiform gyrus,L,1,1,1.0,1.0
mid fusiform gyrus,U,1,1,0.0,
mid ifg,U,1,2,0.5,
mid insula,R,1,2,0.0,1.0
mid insula cortex,L,1,1,1.0,1.0
mid insula cortex,R,1,1,0.0,1.0
frontoinsula,L,1,1,1.0,1.0
frontomarginal sulcus,R,1,1,0.0,1.0
frontomedial cortex,U,1,1,0.0,
frontoparietal operculum,U,1,1,0.0,
frontopolar,L,1,1,1.0,1.0
frontopolar,R,1,1,0.0,1.0
frontopolar 10,R,1,2,0.0,1.0
frontopolar area,U,1,1,0.0,
frontal wm,R,1,1,0.0,1.0
fronto insular cortex,U,1,3,0.6667,
fronto marginal gyrus and sulcus,U,1,1,1.0,
fronto occipital fasciculus,L,1,1,0.0,0.0
fronto occipital fasciculus,R,1,1,1.0,0.0
fronto polar,R,1,1,0.0,1.0
fronto polar cortex,U,1,1,1.0,
fronto superior medial gyrus ba 9,L,1,1,1.0,1.0
mid temporal pole,R,1,1,0.0,1.0
mid temporal pole,U,1,1,1.0,
mid to inf temp gy,U,1,1,1.0,
mid tp,L,1,2,0.5,0.5
frontal superior medial gyrus ba 32,U,1,1,1.0,
frontal superior orbital gyrus,R,1,1,0.0,1.0
frontal triangular gyrus,U,1,1,0.0,
frontal wm,L,1,1,1.0,1.0
mid temp gy,U,1,2,0.0,
mid temp gyp,U,1,1,0.0,
mid temp gyr,L,1,1,1.0,1.0
mid temp gyr,R,1,1,0.0,1.0
mid temporal cortex,L,1,1,1.0,1.0
mid temporal gyr,U,1,2,0.0,
mid temporal gyrus ba 21,U,1,1,1.0,
mid temporal lobe,R,1,1,0.0,1.0
middle and posterior cingulate gyrus,U,1,1,0.0,
middle and superior,L,1,1,1.0,1.0
middle and superior frontal gyrus 10,R,1,1,0.0,1.0
middle and superior occipital gyrus,L,1,1,1.0,1.0
middle and superior temporal gyrus,R,1,1,0.0,1.0
middle anterior cingulate cortex,U,1,3,1.0,
middle anterior part of the cingulate gyrus and sulcus,U,1,2,1.0,
middle anterior temporal cortex,U,1,2,1.0,
middle,L,1,1,1.0,1.0
middle,R,1,1,0.0,1.0
middle and anterior cingulate,U,1,1,0.0,
middle and inferior frontal,R,1,1,0.0,1.0
middle and inferior frontal,U,1,1,0.0,
middle and inferior frontal gyrus,L,1,1,1.0,1.0
middle and inferior frontal gyrus,R,1,1,0.0,1.0
middle and inferior frontal gyrus 10 46,R,1,1,0.0,1.0
mid tp,R,1,3,0.0,1.0
mid vlpfc,U,1,1,1.0,
midbrain,R,1,1,0.0,1.0
midbrain subthalamic nucleus,L,1,1,1.0,1.0
midcingulate ba 24,U,1,1,0.0,
midcingulate crtx,U,1,1,0.0,
midcingulum,U,1,1,1.0,
middel frontal gyrus,U,1,1,1.0,
frontopolar cortex ba 10,L,1,1,1.0,1.0
frontopolar cortex ba 10,R,1,1,0.0,1.0
frpole,U,1,1,1.0,
furiform gyrus,L,1,1,1.0,1.0
fus,U,1,1,0.0,
fus gyr,U,1,1,1.0,
fusi,U,1,1,1.0,
fusicform,U,1,1,0.0,
frontal pole ba 10,U,1,1,1.0,
frontal pole cortex,R,1,2,0.0,1.0
frontal poleb,L,1,1,1.0,1.0
frontal sub gyral,L,1,1,1.0,1.0
frontal sub gyral,U,1,1,0.0,
frontal sub gyral ba 6,L,1,1,1.0,1.0
frontal subgyral,U,1,1,1.0,
frontal sup medeal,U,1,1,1.0,
middle cingulate gyrus ba 23,U,1,1,0.0,
middle cingulate gyrus ba 24,R,1,1,0.0,1.0
frontal polar,R,1,1,0.0,1.0
frontal polar,U,1,1,0.0,
frontal polar c,R,1,1,0.0,1.0
frontal pole 9,U,1,1,0.0,
frontal pole anterior medial prefrontal cortex,U,1,2,0.0,
frontal pole ba 10,R,1,1,0.0,1.0
middle cingulate cortex 6,U,1,1,1.0,
middle cingulate cortex ba 23,R,1,1,0.0,1.0
middle cingulate cortex ba 23,U,1,1,1.0,
middle cingulate cortex ba 24,L,1,1,1.0,1.0
middle cingulate cortex ba 31,L,1,1,1.0,1.0
middle cingulate g,B,1,1,0.0,
middle cingulate g,U,1,1,1.0,
middle cingulate gurus,L,1,1,1.0,1.0
middle central sulcus,L,1,1,1.0,1.0
middle cerebellar peduncle,U,1,1,1.0,
middle cigulate cortex,U,1,1,1.0,
middle cingulate and paracingulate gyrus,U,1,1,0.0,
middle cingulate cortex 24,U,1,1,0.0,
middle cingulate cortex 31,U,1,1,0.0,
middle cingulate cortex 32 24,L,1,3,1.0,1.0
middle cingulate cortex 32 24,R,1,1,0.0,1.0
middle frontal gyrus 10 44,L,1,1,1.0,1.0
frontal medial cortex,U,1,2,0.5,
frontal medial gyrus,U,1,1,0.0,
frontal mid 5,U,1,2,1.0,
frontal mid 8,U,1,1,1.0,
frontal mid orb,R,1,1,0.0,1.0
frontal mid orb,U,1,1,1.0,
frontal middle,L,1,1,1.0,1.0
middle frontal and precentral gyrus,L,1,3,1.0,1.0
middle frontal ba 10,R,1,1,0.0,1.0
middle frontal ba 6,R,1,1,0.0,1.0
middle frontal ba 9 10,R,1,1,0.0,1.0
middle frontal cortex ba 8,U,1,1,0.0,
middle frontal ctx,U,1,1,0.0,
middle frontal g ba 10,U,1,3,1.0,
middle frontal gyru,R,1,1,0.0,1.0
middle cingulum cortex,L,1,1,1.0,1.0
middle cingulum cortex,R,1,1,0.0,1.0
middle dorsal insula,L,1,1,1.0,1.0
middle dorsal insula,R,1,1,0.0,1.0
middle fontal gyrus,U,1,1,0.0,
middle friontal gyrus,R,1,1,0.0,1.0
middle fronal gyrus,L,1,1,1.0,1.0
middle frontal 9,L,1,1,1.0,1.0
frontal sup media,L,1,1,1.0,1.0
frontal sup media,R,1,2,0.0,1.0
frontal superior,U,1,1,1.0,
frontal superior gyrus,R,1,1,0.0,1.0
frontal superior gyrus,U,1,1,0.0,
frontal superior medial,U,1,1,1.0,
frontal superior medial ba 10,U,1,1,0.0,
middle cingulum ba 32,U,1,2,0.0,
middle frontal gyrus 8,L,1,2,1.0,1.0
middle frontal gyrus 8 9,R,1,1,0.0,1.0
middle frontal gyrus and posterior inferior frontal gyrus,U,1,1,0.0,
middle frontal gyrus and precentral sulcus,U,1,1,0.0,
middle frontal gyrus ba 11,R,1,1,0.0,1.0
middle frontal gyrus ba 11 47,R,1,1,0.0,1.0
middle frontal gyrus ba 13,R,1,1,1.0,0.0
middle frontal gyrus ba 4,L,1,1,1.0,1.0
middle frontal gyrus 32,L,1,1,1.0,1.0
middle frontal gyrus 36,U,1,1,1.0,
middle frontal gyrus 45,R,1,1,0.0,1.0
middle frontal gyrus 45,U,1,4,1.0,
middle frontal gyrus 46,R,1,1,0.0,1.0
middle frontal gyrus 47,L,1,1,1.0,1.0
middle frontal gyrus 6 8,L,1,1,1.0,1.0
middle frontal gyrus 6 8 9,L,1,1,1.0,1.0
frontal operculum p opercularis,U,1,1,1.0,
frontal operculum p triangularis,U,1,1,1.0,
frontal orbital,L,1,2,1.0,1.0
frontal orbital,R,1,1,0.0,1.0
middle frontal gyrus 11,R,1,1,0.0,1.0
middle frontal gyrus 11,U,1,2,0.5,
middle frontal gyrus 11 47,L,1,1,1.0,1.0
middle frontal gyrus 21,L,1,1,1.0,1.0
frontal middle,R,1,1,0.0,1.0
frontal middle gyrus,L,1,1,1.0,1.0
frontal middle gyrus,R,1,1,0.0,1.0
frontal middle gyrus,U,1,2,1.0,
frontal middle orbital,L,1,1,1.0,1.0
frontal middle orbital gyrus,L,1,2,1.0,1.0
frontal middle orbital gyrus,R,1,2,0.0,1.0
frontal network,U,1,1,0.0,
frontal inferior triangularisangularis,U,1,5,0.8,
frontal insular cortex,L,1,1,1.0,1.0
frontal insular cortex,R,1,1,0.0,1.0
frontal lobe frame gyrus,U,1,1,1.0,
frontal lobe frontal gyrus,R,1,1,0.0,1.0
frontal lobe inferior frontal gyrus,L,1,4,1.0,1.0
frontal lobe inferior frontal gyrus,R,1,1,0.0,1.0
frontal lobe medial frontal gyrus,L,1,1,1.0,1.0
frontal inf orb 47,U,1,1,1.0,
frontal inf p o,L,1,1,1.0,1.0
frontal inf p o,R,1,1,0.0,1.0
frontal inf p t,L,1,1,1.0,1.0
frontal inf p t,R,1,1,0.0,1.0
frontal inferior opercularis,R,1,1,0.0,1.0
frontal inferior orbital gyrus,R,1,1,0.0,1.0
frontal inferior triangularis,R,1,1,0.0,1.0
middle frontal gyrus ba 9 46,U,1,1,0.0,
middle frontal gyrus ba 9 46 include middle frontal gyrus ba 10,R,1,1,0.0,1.0
middle frontal gyrus in orbital part,U,1,1,0.0,
middle frontal gyrus rb,U,1,1,0.0,
middle frontal gyrus3,U,1,1,0.0,
middle frontal gyrus4,U,1,1,0.0,
middle frontal gyrusb,U,1,1,1.0,
middle frontal gyrusd,R,1,1,0.0,1.0
middle frontal gyrus ba 44,L,1,1,1.0,1.0
middle frontal gyrus ba 45,R,1,1,0.0,1.0
middle frontal gyrus ba 46,L,1,1,1.0,1.0
middle frontal gyrus ba 46 3,U,1,1,0.0,
middle frontal gyrus ba 47,L,1,1,1.0,1.0
middle frontal gyrus ba 6 include precentral gyrus ba 6,L,1,1,1.0,1.0
middle frontal gyrus ba 8 9,U,1,2,0.5,
middle frontal gyrus ba 9 10 46,L,1,1,1.0,1.0
middle occipital and lingual gyrus,U,1,1,0.0,
middle occipital ba 18,U,1,1,0.0,
middle occipital ba 18 19,L,1,2,1.0,1.0
middle occipital ba 18 19,R,1,2,0.0,1.0
middle occipital cortex,L,1,1,1.0,1.0
fpc,L,1,2,1.0,1.0
fpc,R,1,3,0.0,1.0
fpc middle frontal gyrus,U,1,2,0.5,
middle inferior occipital gyrus,R,1,1,0.0,1.0
middle inferior occipital gyrus,U,1,3,0.0,
middle insula,R,1,1,0.0,1.0
middle intraparietal sulcus,L,1,3,1.0,1.0
middle intraparietal sulcus,R,1,3,0.0,1.0
middle ips,L,1,1,1.0,1.0
middle longitudinal fasciculus wm,U,1,2,0.0,
middle occipital and fusiform gyrus,U,1,1,0.0,
middle frontal precentral gyrus,R,1,1,0.0,1.0
middle frontal region,U,1,2,0.0,
middle frontal sulcus,R,1,1,0.0,1.0
middle frontalgyrus,L,1,5,1.0,1.0
middle fusiform gyrus,L,1,1,1.0,1.0
middle hippocampus,L,1,1,1.0,1.0
middle hippocampus,R,1,2,0.0,1.0
middle inferior occipital gyrus,L,1,1,1.0,1.0
frontal lobe paracentral lobule,U,1,1,0.0,
frontal lobe sub gyral,L,1,1,1.0,1.0
frontal lobe superior frontal gyrus,L,1,1,1.0,1.0
frontal med orb and,B,1,1,1.0,
frontal medial,R,1,1,0.0,1.0
middle frontal lobe,L,1,1,1.0,1.0
middle frontal lobe,U,1,2,0.5,
middle frontal orbital part,L,1,1,1.0,1.0
middle occipital gyrus ba 39,R,1,1,0.0,1.0
middle occipital gyrus cluster 1,L,1,1,1.0,1.0
middle occipital gyrusa,U,1,1,0.0,
middle occipital lobe,L,1,1,1.0,1.0
middle occipital lobe,R,1,1,0.0,1.0
middle occipital sulcus,L,1,1,1.0,1.0
middle occipitalgyrus,L,1,3,1.0,1.0
middle occipitalgyrus,R,1,1,0.0,1.0
middle occipital gyrus 18,L,1,1,1.0,1.0
middle occipital gyrus 18,R,1,1,0.0,1.0
middle occipital gyrus 37,L,1,1,1.0,1.0
middle occipital gyrus 37,R,1,1,0.0,1.0
middle occipital gyrus 37 18 19,R,1,1,0.0,1.0
middle occipital gyrus 39,U,1,1,0.0,
middle occipital gyrus ba 37,R,1,1,0.0,1.0
middle occipital gyrus ba 37,U,1,1,0.0,
frontal eye field ba 8,R,1,1,0.0,1.0
frontal gyrus,L,1,1,1.0,1.0
frontal gyrus,R,1,1,0.0,1.0
frontal inf,R,1,1,0.0,1.0
frontal inf gy,U,1,3,1.0,
frontal inf oper 44,U,1,2,1.0,
middle occipital g,L,1,2,1.0,1.0
middle occipital g ba 19,U,1,2,0.0,
fppfc,U,1,5,1.0,
front med orbit,R,1,1,0.0,1.0
front mid orbit,R,1,1,0.0,1.0
front pole,L,1,1,1.0,1.0
frontal and subcortical area,U,1,1,1.0,
frontal ba 10,L,1,1,1.0,1.0
frontal ba 10,R,1,1,0.0,1.0
frontal cortex sma,B,1,2,1.0,
fef sphere,L,1,1,1.0,1.0
fef sphere,R,1,1,0.0,1.0
fefa,L,1,1,1.0,1.0
fefa,R,1,1,0.0,1.0
fefs,U,1,2,0.0,
ffa ba 37,L,1,1,1.0,1.0
ffa ba 37,R,1,1,0.0,1.0
ffa1 mask,L,1,3,1.0,1.0
middle stg,L,1,1,1.0,1.0
middle stg,R,1,1,0.0,1.0
middle sts,L,1,1,1.0,1.0
middle superior temporal sulcus,U,1,1,0.0,
fef 8,U,1,1,0.0,
fef ba 9,R,1,1,0.0,1.0
fef lat,L,1,1,0.0,0.0
fef left2,U,1,1,1.0,
middle orbital gyrus ba 32,L,1,1,1.0,1.0
middle orbito frontal,L,1,1,1.0,1.0
middle orbitofrontal,U,1,2,0.5,
middle orbitofrontal cortex,U,1,1,1.0,
middle orbitofrontal gyrus,U,1,1,0.0,
middle orbitofrontal gyrusa,U,1,1,0.0,
middle orbitofrontal lobe,U,1,2,0.0,
middle posterior part of the cingulate gyrus and sulcus,U,1,2,1.0,
middle occipito temporal gyrus,U,1,1,1.0,
middle occipito temporal gyrusa,U,1,1,1.0,
middle occpital gyrus ba 18,L,1,1,1.0,1.0
middle ofc,U,1,1,0.0,
middle orbiral gyrus,U,1,1,0.0,
middle orbital,L,1,1,1.0,1.0
middle orbital frontal gyrus,L,1,1,1.0,1.0
middle orbital gyrus ba 11,U,1,1,0.0,
middle temporal gyrus 39,L,1,1,0.0,0.0
middle temporal gyrus ba 19,L,1,1,1.0,1.0
middle temporal gyrus ba 19,R,1,1,0.0,1.0
middle temporal gyrus ba 20,R,1,1,0.0,1.0
middle temporal gyrus ba 20,U,1,1,0.0,
middle temporal gyrus ba 21 37,U,1,1,0.0,
middle temporal gyrus ba 21 a,R,1,1,0.0,1.0
middle temporal gyrus ba 22,L,1,1,1.0,1.0
middle temporal g ba 39,U,1,1,0.0,
middle temporal gyrus 19,L,1,1,1.0,1.0
middle temporal gyrus 19,R,1,1,0.0,1.0
middle temporal gyrus 1997,U,1,1,1.0,
middle temporal gyrus 21 22,R,1,1,0.0,1.0
middle temporal gyrus 21 22,U,1,2,0.5,
middle temporal gyrus 22,R,1,1,0.0,1.0
middle temporal gyrus 22 37,L,1,1,1.0,1.0
first and second heschls gyrus,R,1,1,0.0,1.0
fmri study,U,1,6,0.3333,
forceps major,U,1,1,0.0,
middle temporal and,L,1,1,1.0,1.0
middle temporal and gyrus,R,1,1,0.0,1.0
middle temporal g,L,1,4,1.0,1.0
middle temporal g ba 21,U,1,1,1.0,
middle temporal g ba 22,U,1,1,1.0,
ffa1 mask,R,1,3,0.0,1.0
ffa2 mask,L,1,3,1.0,1.0
ffa2 mask,R,1,3,0.0,1.0
ffsiform gyrus 37,L,1,1,1.0,1.0
fg mask,L,1,3,1.0,1.0
fg mask,R,1,3,0.0,1.0
fimbria,U,1,1,1.0,
first and second heschls gyrus,L,1,1,1.0,1.0
midline,U,1,2,0.0,
midline calcerine gyrus,U,1,1,1.0,
midline medial pfc,U,1,1,1.0,
midline mid cingulate cortex,U,1,1,1.0,
midline prefrontal,U,1,1,0.0,
midline thalamus,U,1,1,1.0,
midsupitempg,U,1,1,1.0,
midtemporal gyrus,R,1,1,0.0,1.0
middle temporal lobe ba 21,R,1,1,0.0,1.0
middle temporal occipital gyrus,R,1,1,0.0,1.0
middle temporal sulcus,U,1,1,1.0,
middle temporalgyrus,R,1,3,0.0,1.0
middlefrontal,U,1,1,0.0,
middorsal insula,U,1,2,0.5,
midinsula,L,1,1,1.0,1.0
midinsula,U,1,1,0.0,
middle temporal gyrusl superior temporal gyrus,L,1,1,1.0,1.0
middle temporal gyrusl superior temporal gyrusleft inferior parietal lobe,L,1,1,1.0,1.0
middle temporal gyrusr superior temporal gyrus,R,1,2,0.0,1.0
middle temporal gyrusr superior temporal gyrusr inferior parietal lobe,R,1,1,0.0,1.0
middle temporal gyus,U,1,1,1.0,
middle temporal lobe,L,1,2,1.0,1.0
middle temporal lobe,R,1,1,0.0,1.0
middle temporal lobe,U,1,8,0.25,
middle temporal gyrus ba 22,R,1,1,0.0,1.0
middle temporal gyrus ba 37,L,1,1,1.0,1.0
middle temporal gyrus ba 37,R,1,1,0.0,1.0
middle temporal gyrus ba 37,U,1,2,0.0,
middle temporal gyrus ba 37 21,U,1,1,1.0,
middle temporal gyrus ba 41,R,1,1,0.0,1.0
middle temporal gyrus wm,R,1,1,0.0,1.0
middle temporal gyrusa,L,1,1,1.0,1.0
extrastriate body area,U,1,1,0.0,
extrastriate cortex,L,1,1,1.0,1.0
extrastriate vis cortex ba 18,U,1,2,1.0,
extrastriate vis cortex ba 19,U,1,5,0.4,
extrastriate visual cortex,L,1,1,0.0,0.0
extrastriate visual cortex,R,1,1,1.0,0.0
extrastriate visual cortex,U,1,2,1.0,
f middle gyrus,R,1,1,0.0,1.0
executive network,U,1,1,0.0,
ext insula,U,1,1,1.0,
external capsule,L,1,1,1.0,1.0
external capsule,R,1,1,1.0,0.0
extra striate cortex,L,1,1,1.0,1.0
extra striate cortex,R,1,1,0.0,1.0
extrastriate,L,1,1,1.0,1.0
extrastriate,R,1,3,0.0,1.0
mocg,R,1,2,0.0,1.0
mocg,U,1,1,1.0,
mofc ba 11,R,1,1,0.0,1.0
enthorinal cortex,U,1,1,1.0,
entorhinal,R,1,1,0.0,1.0
entorhinal cortex 30,U,1,1,0.0,
esc,U,1,2,1.0,
evc,U,1,2,0.0,
midtemporal gyrus,U,1,1,0.0,
midtg,U,1,1,0.0,
mins,U,1,1,0.0,
miog,U,1,2,1.0,
mips,U,1,2,0.5,
moc,L,1,1,1.0,1.0
moc,U,1,1,1.0,
mocg,L,1,2,1.0,1.0
mpfc middle,U,1,1,1.0,
mpfc ventral,U,1,1,1.0,
mpfg,U,1,1,1.0,
mppc,L,1,3,1.0,1.0
mppc,R,1,2,0.0,1.0
msfg,B,1,1,0.0,
msn,U,1,1,1.0,
mt ba 37,L,1,4,0.75,0.75
mpfc 10,U,1,1,0.0,
mpfc ba 10 32,U,1,1,1.0,
mpfc ba 8 9 32,U,1,1,0.0,
mpfc ba 9,U,1,1,0.0,
mpfc ba 9 10 32,U,1,1,1.0,
mpfc cing,U,1,1,0.0,
mpfc dacc,U,1,1,1.0,
mpfc dorsal,U,1,1,1.0,
motor,L,1,1,1.0,1.0
motor,U,1,1,1.0,
motor and sensorimotor cortex,L,1,1,1.0,1.0
motor and sensorimotor cortex,R,1,1,0.0,1.0
motor ba 4,L,1,1,1.0,1.0
motor ba 4,R,1,1,0.0,1.0
motorcortex,L,1,1,1.0,1.0
motorcortex,R,1,1,0.0,1.0
f middle temporal gyrus,L,1,1,1.0,1.0
f sup gyrus,L,1,3,1.0,1.0
f sup gyrus,R,1,3,0.0,1.0
f3t,U,1,1,1.0,
fba,U,1,1,0.0,
mog 18,U,1,1,0.0,
mog 19,U,1,1,0.0,
mortor cortex,R,1,1,0.0,1.0
nucleus ruber,U,1,2,0.5,
nucleus subthalamicus,U,1,2,0.5,
o amygdala,U,1,1,0.0,
o dorsal premotor cortex,U,1,1,0.0,
o fusiform gyrus,U,1,1,1.0,
o inferior frontal gyrus,U,1,4,0.0,
o middle frontal gyrus,U,1,1,1.0,
o parahippocampal gyrus,U,1,2,1.0,
nc accumbens,L,1,1,1.0,1.0
nd hg,U,1,2,0.5,
negative precuneus,U,1,1,0.0,
negative superior frontal gyrus,U,1,1,1.0,
no label,U,1,1,1.0,
non bpd,U,1,5,0.6,
none at cwp 0 001,U,1,1,1.0,
nucleus of the diagonal band of broca,U,1,1,0.0,
mts,R,1,1,0.0,1.0
n ac,U,1,1,0.0,
n accumbens,L,1,1,1.0,1.0
n accumbens,R,1,1,0.0,1.0
n accumbens,U,1,2,1.0,
n ach,U,1,1,0.0,
n caudatus,U,1,1,1.0,
na ba 34,U,1,1,1.0,
mt ba 37,R,1,5,0.2,0.8
mtc,U,1,2,0.5,
mtg 21,L,1,1,1.0,1.0
mtg 39,U,1,1,1.0,
mtg ba 22,R,1,1,0.0,1.0
mtgb,R,1,1,0.0,1.0
mtl,U,1,2,1.0,
mts,L,1,1,1.0,1.0
dorsolateral prefrontal ctx,U,1,1,1.0,
dorsolateral premotor cortex,U,1,1,1.0,
dorsolateral visual cortex 18,U,1,1,1.0,
dorsoloateral prefrontal cortex,U,1,2,0.5,
dorsomedial frontal cortex,U,1,1,1.0,
dorsomedial prefrontal cortex ba 8,U,1,1,0.0,
dorsomedial prefrontal cortex ba 9,U,1,4,0.5,
dorsomedial prefrontal gyrus,L,1,1,0.0,0.0
occipital fusiform,U,1,1,0.0,
occipital fusiform 19,R,1,1,0.0,1.0
occipital fusiform cortex,U,1,1,0.0,
dorsolateral prefrontal cortex 46,L,1,2,1.0,1.0
dorsolateral prefrontal cortex ba 10,U,1,1,0.0,
dorsolateral prefrontal cortex ba 10 4,U,1,1,0.0,
dorsolateral prefrontal cortex ba 9,L,1,1,1.0,1.0
dorsolateral prefrontal cortex5,U,1,1,0.0,
occipital cortex,B,1,4,0.5,
occipital cortex and thalamus,R,1,1,0.0,1.0
occipital cortex and thalamus,U,1,1,0.0,
occipital cortex ba 18,L,1,2,1.0,1.0
occipital cortex ba 18,R,1,1,0.0,1.0
occipital cortex ba 18,U,1,1,1.0,
occipital cortex ba 18 4,U,1,1,1.0,
occipital fusiform,R,1,1,0.0,1.0
o precentral gyrus,U,1,1,0.0,
o sma,U,1,2,0.5,
o superior frontal gyrus,U,1,2,0.5,
occipital and cerebellar area,U,1,1,0.0,
occipital and fusiform gyrus,L,1,1,1.0,1.0
occipital and fusiform gyrus,R,1,1,0.0,1.0
occipital and temporal cortex,R,1,1,0.0,1.0
occipital c,L,1,1,1.0,1.0
occipital pole and cerebellum,R,1,1,1.0,0.0
occipital pole and lingual gyrus,U,1,1,0.0,
occipital region,L,1,1,1.0,1.0
occipital sup,L,1,2,1.0,1.0
occipital sup,R,1,1,0.0,1.0
occipital sup,U,1,3,0.6667,
occipital superior lobe,L,1,1,1.0,1.0
occipital temporal gyrus 37,L,1,1,1.0,1.0
occipital lobe 18,U,1,1,0.0,
occipital lobe ba 18,U,1,2,0.0,
occipital lobe cl,U,1,1,0.0,
occipital lobe cuneus,R,1,1,0.0,1.0
occipital lobe il,U,1,1,1.0,
occipital lobe lingual gyrus,L,1,1,1.0,1.0
occipital medial area,U,1,2,0.0,
occipital parietal junction,R,1,1,0.0,1.0
occipital fusiform gyrus 19,L,1,2,1.0,1.0
occipital gyrus,L,1,2,1.0,1.0
occipital gyrus,R,1,1,0.0,1.0
occipital gyrus 19,R,1,1,0.0,1.0
occipital gyrus 19,U,1,1,1.0,
occipital gyrus ba 18,U,1,3,0.6667,
occipital inf,L,1,1,1.0,1.0
occipital inferior,U,1,1,0.0,
dorsomedial thalamus,L,1,2,1.0,1.0
dpcc,L,1,1,0.0,0.0
dpcc ba 23,U,1,6,0.5,
dpins,R,1,1,0.0,1.0
dpm,U,1,1,1.0,
dpmc 6,U,1,1,0.0,
e hippocampus,L,1,1,1.0,1.0
early visual area,U,1,1,1.0,
ofc orbital,U,1,1,0.0,
oifg,U,1,1,0.0,
oig,L,1,1,1.0,1.0
oig,R,1,1,1.0,0.0
olfactory,L,1,1,1.0,1.0
olfactory,R,1,1,0.0,1.0
olfactory,U,1,1,0.0,
olfactory lobe,L,1,1,1.0,1.0
occipitotemporal cortex,R,1,3,0.0,1.0
occipitotemporal junction,R,1,1,0.0,1.0
occiput wedge leaf,U,1,1,0.0,
occitpital cortex,U,1,1,0.0,
occp,L,1,1,1.0,1.0
ocg,U,1,1,1.0,
ofa,R,1,1,1.0,0.0
ofc lateral,U,1,1,0.0,
occipito temporal junction inferior occipital gyrusr inferior temporal gyrusr middle temporal gyrus,R,1,1,0.0,1.0
