lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
f sup gyrus,L F sup gyrus,2,SFG,Superior Frontal Gyrus,3.0,3,7,6.08,5,0.2308,2,SFG_L(R)_7_3,A9l,lateral area 9,5,6,1.0,1.0,1,0.2308,0.3333,0.07692
f sup gyrus,L F sup gyrus,2,SFG,Superior Frontal Gyrus,3.0,3,7,6.08,5,0.2308,3,SFG_L(R)_7_7,A10m,medial area 10,13,14,1.0,1.0,1,0.2308,0.3333,0.07692
f3o,F3O,1,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_5,A44op,opercular area 44,37,38,1.0,1.0,1,0.375,1.0,0.125
f3o,F3O,1,INS,Insular Gyrus,1.0,1,6,5.3,5,0.375,1,INS_L(R)_6_3,dIa,dorsal agranular insula,167,168,1.0,1.0,1,0.375,1.0,0.125
f3o,F3O,1,OrG,Orbital Gyrus,1.0,1,6,5.3,5,0.375,1,OrG_L(R)_6_6,A12/47l,lateral area 12/47,51,52,1.0,1.0,3,0.375,1.0,0.125
f3t,F3t,1,IFG,Inferior Frontal Gyrus,1.0,1,6,5.3,5,0.375,1,IFG_L(R)_6_2,IFS,inferior frontal sulcus,31,32,1.0,1.0,1,0.375,1.0,0.125
fba,FBA,1,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,107,108,1.0,1.0,1,0.6,1.0,0.2
fef,FEF,5,MFG,Middle Frontal Gyrus,6.0,2,7,3.98,4,0.579,1,MFG_L(R)_7_6,A6vl,ventrolateral area 6,25,26,5.0,5.0,7,0.5789,0.8333,0.05263
fef,FEF,5,MFG,Middle Frontal Gyrus,6.0,2,7,3.98,4,0.579,2,MFG_L(R)_7_2,IFJ,inferior frontal junction,17,18,1.0,1.0,1,0.1579,0.1667,0.05263
fef,FEF,5,PrG,Precentral Gyrus,6.0,1,6,2.82,3,0.7221,1,PrG_L(R)_6_2,A6cdl,caudal dorsolateral area 6,55,56,6.0,6.0,10,0.7222,1.0,0.05556
